track_id	artist_id	album_id	path	duration	tags	tag_count
949222	5240	111582	22/949222.mp3	184.5	adventure,corporate,documentary,drama,emotional,nature,soft,travel	8
949229	5240	111582	29/949229.mp3	282.4	children,corporate,documentary,drama,emotional,nature,romantic,soft	8
1077940	5240	128384	40/1077940.mp3	242.3	adventure,advertising,children,documentary,emotional,film,melancholic,nature	8
900232	5240	105966	32/900232.mp3	224.3	adventure,children,corporate,documentary,drama,funny,nature	7
900243	5240	105966	43/900243.mp3	110.1	adventure,corporate,documentary,drama,emotional,love,romantic	7
949232	5240	111582	32/949232.mp3	151.7	ballad,corporate,documentary,drama,emotional,nature,soft	7
1077945	5240	128384	45/1077945.mp3	172.4	adventure,advertising,children,documentary,drama,film,nature	7
1079384	5240	128551	84/1079384.mp3	174.1	children,documentary,drama,emotional,film,mellow,soft	7
1079400	5240	128551	00/1079400.mp3	192.0	adventure,children,corporate,documentary,drama,film,funny	7
1167897	456650	140453	97/1167897.mp3	178.7	advertising,children,commercial,corporate,happy,party,upbeat	7
1194791	432273	143800	91/1194791.mp3	141.7	dream,love,melodic,nature,relaxing,romantic,soft	7
1203121	457221	144525	21/1203121.mp3	244.7	calm,commercial,dream,emotional,film,melodic,relaxing	7
1203194	456946	144533	94/1203194.mp3	182.4	documentary,dream,film,love,melodic,romantic,sad	7
1203195	456946	144533	95/1203195.mp3	176.4	drama,dream,happy,love,mellow,relaxing,romantic	7
1203199	456946	144534	99/1203199.mp3	193.0	background,drama,mellow,melodic,movie,relaxing,sad	7
1203201	456946	144534	01/1203201.mp3	197.2	calm,dark,drama,dramatic,emotional,melancholic,sad	7
1269564	432273	151644	64/1269564.mp3	163.6	documentary,emotional,film,happy,love,relaxing,romantic	7
1290149	466600	153698	49/1290149.mp3	70.1	children,christmas,commercial,happy,holiday,inspiring,motivational	7
1291679	466600	153836	79/1291679.mp3	35.1	children,christmas,commercial,happy,holiday,inspiring,motivational	7
1291680	466600	153836	80/1291680.mp3	65.0	children,christmas,commercial,happy,holiday,inspiring,motivational	7
1294205	437980	154050	05/1294205.mp3	60.0	advertising,commercial,cool,energetic,fun,positive,upbeat	7
1294747	7063	154152	47/1294747.mp3	157.4	energetic,fun,happy,motivational,party,positive,upbeat	7
1382980	483387	162342	80/1382980.mp3	180.0	commercial,corporate,hopeful,inspiring,motivational,positive,upbeat	7
16039	2323	2275	39/16039.mp3	178.7	dramatic,epic,inspiring,powerful,upbeat,uplifting	6
81018	8004	7421	18/81018.mp3	239.3	documentary,dream,emotional,meditative,nature,relaxing	6
600112	341323	69335	12/600112.mp3	128.3	adventure,documentary,drama,film,sport,travel	6
816197	365142	95316	97/816197.mp3	193.1	documentary,drama,emotional,love,melancholic,soft	6
844689	2323	98719	89/844689.mp3	249.6	dramatic,emotional,epic,inspiring,powerful,uplifting	6
900236	5240	105966	36/900236.mp3	316.0	adventure,children,corporate,documentary,drama,nature	6
919995	365142	108992	95/919995.mp3	124.0	children,christmas,documentary,emotional,happy,soft	6
949226	5240	111582	26/949226.mp3	110.7	children,corporate,documentary,drama,emotional,soft	6
